n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
40	1	1	380.227	443.762	387.743	443.762	476.57	450.147	450.147
40	1	2	371.084	427.344	384.868	427.445	445.768	437.139	437.038
40	1	3	370.601	506.273	397.703	506.273	531.293	519.465	519.166
40	1	4	329.186	413.604	343.714	414.028	427.418	419.789	419.789
40	1	5	384.281	447.682	388.591	447.682	477.118	457.502	457.502
40	1	6	383.057	482.907	395.795	482.961	504.067	497.093	496.428
40	1	7	407.768	498.954	420.155	498.954	511.971	503.197	503.197
40	1	8	371.714	462.522	410.289	466.363	486.533	480.459	480.459
40	1	9	357.428	447.734	377.325	447.9	464.923	457.623	453.471
40	1	10	365.241	436.291	394.93	436.824	459.721	447.496	447.496
