n	rep	time	value	gap	LPvalue	H0	H1
70	1	1200.06	666.024	3.15788	636.757	674.955	666.024
70	2	1200.07	652.405	0.318572	635.961	663.758	653.004
70	3	1200.32	693.859	0.192652	685.271	723.6	693.859
70	4	233.287	706.974	0	699.116	724.246	706.974
70	5	516.889	667.216	0	657.878	680.36	667.347
70	6	1200.05	718.525	1.76541	698.764	731.056	718.525
70	7	165.085	639.614	0	630.867	659.839	639.614
70	8	1200.1	630.011	0.555172	616.547	645.661	630.011
70	9	1200.42	608.57	0.845169	593.559	620.342	609.12
70	10	1200.12	709.822	2.21983	678.152	732.675	709.822
