n	rep	time	value	gap	LPvalue	H0	H1
55	1	106.771	1.39165e+06	0	1.35855e+06	1.40668e+06	1.39165e+06
55	2	63.578	768671	0	746073	798484	768671
55	3	19.57	1.14559e+06	0	1.1394e+06	1.20145e+06	1.14559e+06
55	4	17.916	993049	0	986360	1.03571e+06	993049
55	5	19.616	918358	0	907701	956527	918358
55	6	339.19	983843	0	951814	1.03462e+06	983843
55	7	23.977	1.42397e+06	0	1.40796e+06	1.47325e+06	1.42397e+06
55	8	53.895	1.25897e+06	0	1.24269e+06	1.28634e+06	1.25897e+06
55	9	30.011	917913	0	908990	927462	917913
55	10	35.287	963265	0	951660	992505	963265
