n	rep	time	value	gap	LPvalue	H0	H1
60	1	1200.04	126436	0.611052	122996	127583	126436
60	2	1200.06	137078	0.332024	134295	137456	137078
60	3	1200.11	130833	1.48181	126480	131745	130833
60	4	1200.09	154291	1.97384	148401	154459	154291
60	5	969.141	139148	0	136877	141675	139148
60	6	944.901	126495	0	123765	127901	126495
60	7	1200.05	142002	1.26187	137369	143276	142002
60	8	89.349	129245	0	127852	132026	129245
60	9	1200.05	142710	0.329197	140118	144575	142710
60	10	306.663	137136	0	134841	137620	137136
