n	rep	time	value	gap	LPvalue	H0	H1
65	1	1200.05	5.96343e+06	1.25367	5.77595e+06	6.02643e+06	5.99146e+06
65	2	1200.14	7.37917e+06	0.350948	7.21471e+06	7.4819e+06	7.38467e+06
65	3	1200.05	6.85945e+06	1.56651	6.66136e+06	6.97699e+06	6.85945e+06
65	4	1200.05	7.78779e+06	2.51894	7.46984e+06	7.89384e+06	7.78779e+06
65	5	273.026	7.11657e+06	0	6.96957e+06	7.20657e+06	7.12905e+06
65	6	405.817	6.52089e+06	0	6.38245e+06	6.59961e+06	6.52089e+06
65	7	1200.06	8.22869e+06	1.59495	7.94999e+06	8.29969e+06	8.22869e+06
65	8	450.509	6.19389e+06	0	6.05245e+06	6.33108e+06	6.19389e+06
65	9	1200.04	8.63786e+06	0.198965	8.51732e+06	8.76856e+06	8.69219e+06
65	10	815.317	6.78816e+06	0	6.64779e+06	6.8224e+06	6.78816e+06
